species,Name,Estimate,s.e.,95%Lower,95%Upper
Lasioglossum (Homalictus) sp. G,1st order jackknife,2.667,1.054,2.074,7.979
Lasioglossum (Homalictus) sp. G,2nd order jackknife,2.833,1.364,2.089,9.806
Lasioglossum (Homalictus) sp. J,Lasioglossum (Homalictus) sp. J,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. J,Homogeneous Model,1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,Homogeneous (MLE),1.255,0.734,1.014,5.757
Lasioglossum (Homalictus) sp. J,"Chao1 (Chao, 1984)",1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,Chao1-bc,1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,iChao1 (Chiu et al. 2014),1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,"ACE (Chao & Lee, 1992)",1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,"ACE-1 (Chao & Lee, 1992)",1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,1st order jackknife,1,0.284,1,1.799
Lasioglossum (Homalictus) sp. J,2nd order jackknife,1,0.284,1,1.799
Lasioglossum (Homalictus) sp. O,Lasioglossum (Homalictus) sp. O,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. O,Homogeneous Model,2.667,1.333,2.055,10.013
Lasioglossum (Homalictus) sp. O,Homogeneous (MLE),2.51,1.038,2.042,8.266
Lasioglossum (Homalictus) sp. O,"Chao1 (Chao, 1984)",2,0.461,2,3.671
Lasioglossum (Homalictus) sp. O,Chao1-bc,2,0.461,2,3.671
Lasioglossum (Homalictus) sp. O,iChao1 (Chiu et al. 2014),2.25,0.461,2.023,4.72
Lasioglossum (Homalictus) sp. O,"ACE (Chao & Lee, 1992)",3.111,2.491,2.08,17.365
Lasioglossum (Homalictus) sp. O,"ACE-1 (Chao & Lee, 1992)",3.407,3.631,2.086,25.059
Lasioglossum (Homalictus) sp. O,1st order jackknife,2.75,1.146,2.087,8.442
Lasioglossum (Homalictus) sp. O,2nd order jackknife,3.25,1.677,2.171,11.133
Lasioglossum (Homalictus) sp. S,Lasioglossum (Homalictus) sp. S,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. S,Homogeneous Model,Inf,NA,NA,NA
Lasioglossum (Homalictus) sp. S,Homogeneous (MLE),3,0.004,3,3.012
Lasioglossum (Homalictus) sp. S,"Chao1 (Chao, 1984)",3.972,2.067,3.075,15.601
Lasioglossum (Homalictus) sp. S,Chao1-bc,3.972,2.067,3.075,15.601
Lasioglossum (Homalictus) sp. S,iChao1 (Chiu et al. 2014),3.972,2.067,3.075,15.601
Lasioglossum (Homalictus) sp. S,"ACE (Chao & Lee, 1992)",3.972,2.067,3.075,15.601
Lasioglossum (Homalictus) sp. S,"ACE-1 (Chao & Lee, 1992)",3.972,2.067,3.075,15.601
Lasioglossum (Homalictus) sp. S,1st order jackknife,4.944,1.958,3.377,13.025
Lasioglossum (Homalictus) sp. S,2nd order jackknife,6.833,3.344,3.878,19.744
Lasioglossum (Homalictus) sp. T,Lasioglossum (Homalictus) sp. T,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. T,Homogeneous Model,2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,Homogeneous (MLE),2.04,0.212,2.001,3.459
Lasioglossum (Homalictus) sp. T,"Chao1 (Chao, 1984)",2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,Chao1-bc,2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,iChao1 (Chiu et al. 2014),2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,"ACE (Chao & Lee, 1992)",2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,"ACE-1 (Chao & Lee, 1992)",2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,1st order jackknife,2,0.223,2,2.508
Lasioglossum (Homalictus) sp. T,2nd order jackknife,2,0.223,2,2.508
Lasioglossum (Homalictus) sp. U,Lasioglossum (Homalictus) sp. U,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. U,Homogeneous Model,14.714,5.259,10.231,35.527
Lasioglossum (Homalictus) sp. U,Homogeneous (MLE),9.57,0.859,9.067,13.813
Lasioglossum (Homalictus) sp. U,"Chao1 (Chao, 1984)",15.019,7.288,9.935,47.744
Lasioglossum (Homalictus) sp. U,Chao1-bc,12.21,3.991,9.483,30.35
Lasioglossum (Homalictus) sp. U,iChao1 (Chiu et al. 2014),16.019,7.288,10.313,46.518
Lasioglossum (Homalictus) sp. U,"ACE (Chao & Lee, 1992)",15.048,6.623,10.062,43.457
Lasioglossum (Homalictus) sp. U,"ACE-1 (Chao & Lee, 1992)",15.265,7.764,9.946,50.494
Lasioglossum (Homalictus) sp. U,1st order jackknife,13.815,3.074,10.53,24.147
Lasioglossum (Homalictus) sp. U,2nd order jackknife,16.664,5.205,11.292,34.624
Lasioglossum (Homalictus) sp. V,Lasioglossum (Homalictus) sp. V,NA,NA,NA,NA
Lasioglossum (Homalictus) sp. V,Homogeneous Model,2.5,1.061,2.039,8.462
Lasioglossum (Homalictus) sp. V,Homogeneous (MLE),2.241,0.607,2.015,5.837
Lasioglossum (Homalictus) sp. V,"Chao1 (Chao, 1984)",2,0.46,2,3.596
Lasioglossum (Homalictus) sp. V,Chao1-bc,2,0.46,2,3.596
Lasioglossum (Homalictus) sp. V,iChao1 (Chiu et al. 2014),2,0.46,2,3.596
Lasioglossum (Homalictus) sp. V,"ACE (Chao & Lee, 1992)",3.125,2.579,2.079,17.988
Lasioglossum (Homalictus) sp. V,"ACE-1 (Chao & Lee, 1992)",3.594,4.296,2.092,29.511
Lasioglossum (Homalictus) sp. V,1st order jackknife,2.8,1.2,2.095,8.717
Lasioglossum (Homalictus) sp. V,2nd order jackknife,3.4,1.833,2.197,11.924
Lasioglossum (Homalictus) taveuni,Lasioglossum (Homalictus) taveuni,NA,NA,NA,NA
Lasioglossum (Homalictus) taveuni,Homogeneous Model,1,0.2,1,1.464
